Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
0	259540	75820	27490	29802	10205184
35004	920	280	103	157	36673
35005	460	140	45	66	17559
35006	190	40	55	0	7668
35007	1870	530	174	287	73191
35010	890	220	192	109	34734
35014	210	60	0	32	7710
35016	1030	230	104	85	40554
35019	120	30	0	13	4639
35020	710	240	107	75	27096
35022	1520	560	113	206	59187
35023	1530	390	142	133	59808
35031	420	80	82	23	15704
35033	210	50	0	0	8035
35034	150	40	0	0	5457
35035	90	30	0	19	3271
35040	1370	420	163	304	53216
35042	300	70	0	34	11652
35043	650	180	155	87	25187
35044	420	110	77	47	16247
35045	750	160	73	68	28570
35046	350	80	0	41	13440
35049	250	70	0	0	9370
35051	430	100	67	56	16287
35053	150	50	0	36	5955
35054	240	70	85	0	9362
35055	1040	250	58	128	40080
35057	720	140	142	40	27510
35058	570	100	103	43	21406
35061	80	60	0	0	3043
35062	510	100	0	40	19700
35063	190	40	0	0	6957
35064	460	180	34	74	18046
35068	630	240	0	112	24994
35071	1150	370	79	118	45319
35072	220	50	113	24	8322
35073	140	50	0	42	5457
35077	740	140	89	72	28441
35078	110	40	0	14	4326
35079	640	110	136	64	24026
35080	1200	360	143	212	46885
35083	150	30	0	43	5798
35085	470	90	118	28	17888
35087	110	30	0	0	4205
35089	90	0	0	0	3420
35091	210	70	0	0	8225
35094	950	270	112	121	37236
35096	510	120	0	51	19483
35097	150	30	0	0	5629
35098	100	0	0	0	3658
35111	1160	320	155	134	45145
35114	420	110	98	59	15357
35115	740	200	91	86	28087
35116	290	70	67	23	11398
35117	460	120	90	46	18359
35118	190	60	0	0	7521
35120	990	230	82	98	37988
35121	820	150	97	53	31201
35124	1780	760	126	303	72387
35125	600	140	99	55	22890
35126	1580	410	120	218	60905
35127	740	210	104	85	27825
35128	610	160	101	43	23690
35130	190	40	0	35	7121
35131	210	30	0	22	8152
35133	240	60	92	0	9537
35135	130	50	0	51	5460
35136	110	30	0	0	4414
35143	170	40	0	0	6499
35146	720	150	103	65	27474
35147	390	100	0	69	14810
35148	140	40	0	49	5567
35150	920	230	98	69	35699
35151	440	100	66	36	17171
35160	1210	310	98	84	46690
35171	230	60	0	0	8657
35172	200	40	0	22	7332
35173	1750	460	157	222	67920
35175	320	80	63	54	12650
35176	40	0	0	0	1287
35178	200	70	0	40	7783
35179	550	80	108	37	21051
35180	900	210	81	71	35310
35183	50	0	0	0	2032
35184	330	70	0	0	12578
35186	310	70	84	37	11538
35188	210	50	0	0	7916
35203	160	110	0	29	7033
35204	230	90	0	20	8777
35205	770	510	111	250	33513
35206	640	240	83	89	25345
35207	250	80	0	38	9617
35208	480	200	0	39	18939
35209	1410	730	128	293	57026
35210	990	420	0	161	39764
35211	930	450	108	194	37958
35212	400	210	0	96	16543
35213	710	460	0	129	29772
35214	1070	380	80	131	41472
35215	2330	800	144	321	88618
35216	2030	950	114	350	81867
35217	470	170	80	38	18289
35218	160	80	0	0	6278
35221	130	60	0	0	5109
35222	500	310	86	116	21389
35223	460	210	0	68	18074
35224	210	70	0	26	8278
35226	2260	900	223	382	90537
35228	440	150	0	48	16948
35233	70	60	0	30	3147
35234	100	50	0	0	3817
35235	1490	540	103	253	57962
