Zip	State	County	City	ZrentValue
10025	NY	New York	New York	3522
60657	IL	Cook	Chicago	1885
10023	NY	New York	New York	3783
60614	IL	Cook	Chicago	2125
79936	TX	El Paso	El Paso	992
10002	NY	New York	New York	3641
60640	IL	Cook	Chicago	1612
10467	NY	Bronx	New York	1734
77084	TX	Harris	Houston	1415
94109	CA	San Francisco	San Francisco	4443
75070	TX	Collin	McKinney	1928
11226	NY	Kings	New York	2142
77494	TX	Fort Bend	Cinco Ranch	2146
77449	TX	Harris	Cypress	1413
11375	NY	Queens	New York	2160
10016	NY	New York	New York	3599
11235	NY	Kings	New York	2226
60647	IL	Cook	Chicago	1797
37211	TN	Davidson	Nashville	1527
90250	CA	Los Angeles	Hawthorne	2566
37013	TN	Davidson	Nashville	1432
10009	NY	New York	New York	3762
60618	IL	Cook	Chicago	1839
10029	NY	New York	New York	3012
10128	NY	New York	New York	3334
10011	NY	New York	New York	4200
28269	NC	Mecklenburg	Charlotte	1314
78572	TX	Hidalgo	Mission	1047
77573	TX	Galveston	League City	1959
30349	GA	Clayton	Riverdale	1095
79912	TX	El Paso	El Paso	1235
90046	CA	Los Angeles	Los Angeles	3900
94565	CA	Contra Costa	Pittsburg	2143
77584	TX	Brazoria	Pearland	1901
10003	NY	New York	New York	3961
10462	NY	Bronx	New York	1574
10456	NY	Bronx	New York	1838
60613	IL	Cook	Chicago	1662
78660	TX	Travis	Pflugerville	1644
75052	TX	Dallas	Grand Prairie	1541
20009	DC	District of Columbia	Washington	2823
20002	DC	District of Columbia	Washington	2709
21234	MD	Baltimore	Parkville	1609
63376	MO	Saint Charles	Saint Peters	1434
77036	TX	Harris	Houston	1266
30044	GA	Gwinnett	Lawrenceville	1324
10463	NY	Bronx	New York	1972
60629	IL	Cook	Chicago	1435
60625	IL	Cook	Chicago	1616
11206	NY	Kings	New York	2608
11230	NY	Kings	New York	2252
11209	NY	Kings	New York	2263
11201	NY	Kings	New York	2911
78613	TX	Williamson	Cedar Park	1727
11212	NY	Kings	New York	2149
37042	TN	Montgomery	Clarksville	934
75287	TX	Dallas	Dallas	1990
10024	NY	New York	New York	4012
77479	TX	Fort Bend	Sugar Land	2332
77429	TX	Harris	Cypress	1722
85032	AZ	Maricopa	Phoenix	1334
78130	TX	Comal	New Braunfels	1471
11214	NY	Kings	New York	2217
77077	TX	Harris	Houston	2012
78521	TX	Cameron	Brownsville	887
30043	GA	Gwinnett	Lawrenceville	1463
30096	GA	Gwinnett	Duluth	1401
23464	VA	Virginia Beach City	Virginia Beach	1544
94501	CA	Alameda	Alameda	3243
7030	NJ	Hudson	Hoboken	2856
60619	IL	Cook	Chicago	1348
73099	OK	Canadian	Yukon	1217
11229	NY	Kings	New York	2247
94110	CA	San Francisco	San Francisco	4562
28277	NC	Mecklenburg	Charlotte	1879
75243	TX	Dallas	Dallas	1459
90034	CA	Los Angeles	Los Angeles	3478
33160	FL	Miami-Dade	Sunny Isles Beach	2200
33139	FL	Miami-Dade	Miami Beach	2087
44107	OH	Cuyahoga	Lakewood	1210
77379	TX	Harris	Tomball	1776
11377	NY	Queens	New York	2256
90044	CA	Los Angeles	Los Angeles	2321
33411	FL	Palm Beach	Royal Palm Beach	1914
11234	NY	Kings	New York	2245
90650	CA	Los Angeles	Norwalk	2321
90805	CA	Los Angeles	Long Beach	2242
11207	NY	Kings	New York	2240
75067	TX	Denton	Lewisville	1637
60617	IL	Cook	Chicago	1316
10019	NY	New York	New York	3793
44035	OH	Lorain	Elyria	839
23462	VA	Virginia Beach City	Virginia Beach	1289
19143	PA	Philadelphia	Philadelphia	1078
48197	MI	Washtenaw	Ypsilanti	1558
78704	TX	Travis	Austin	2200
92683	CA	Orange	Westminster	2780
8701	NJ	Ocean	Lakewood Township	1911
85710	AZ	Pima	Tucson	1103
11355	NY	Queens	New York	2240
78666	TX	Hays	San Marcos	1434
66062	KS	Johnson	Olathe	1731
78745	TX	Travis	Austin	1654
95630	CA	Sacramento	Folsom	2232
91910	CA	San Diego	Chula Vista	2357
90026	CA	Los Angeles	Los Angeles	2962
10314	NY	Richmond	New York	2093
87111	NM	Bernalillo	Albuquerque	1316
94558	CA	Napa	Napa	2601
