ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	8474	57	2	5	4	0	5	1	60704	11
1	1428	41	2	5	3	0	5	1	45084	12
1	4738	39	1	0	2	0	1	1	52000	10
1	6780	38	1	0	4	0	5	1	35000	13
1	7304	34	1	5	4	0	1	1	31560	11
1	3252	33	1	0	1	9	5	1	78633	12
1	1032	61	2	5	5	9	1	1	28796	99
1	1616	52	1	0	3	0	5	1	89363	12
1	8520	48	1	5	5	0	5	1	15828	10
1	7098	20	1	1	3	3	5	1	135700	12
1	587	59	1	0	2	0	5	1	41202	10
1	2571	37	1	0	3	3	5	1	88520	12
1	987	64	1	5	5	5	5	1	20394	9
1	1989	93	2	5	8	0	5	1	11994	12
1	3220	60	1	0	2	0	5	1	261331	17
1	7525	34	1	0	1	0	5	1	134500	17
1	2679	30	1	0	2	0	5	1	77652	17
1	3130	70	1	0	4	0	5	1	49994	11
1	2184	41	1	0	1	0	5	1	236220	16
1	48	60	1	5	5	0	5	1	9918	12
1	2000	59	2	0	2	0	1	1	30000	9
1	2782	57	1	5	3	0	1	1	37265	11
1	2733	41	1	0	3	0	1	1	76214	11
1	1121	40	1	0	3	0	1	1	11496	11
1	3442	40	2	0	3	0	5	1	15000	11
1	4593	38	1	0	3	0	1	1	30182	10
1	3959	34	2	0	2	0	5	1	3420	12
1	7746	32	1	0	4	0	1	1	26000	12
1	5421	27	1	0	3	0	1	1	26050	12
1	6262	23	1	0	3	0	5	1	31500	14
1	8170	24	1	0	4	0	1	1	56236	10
1	5709	22	1	5	4	0	1	1	200	9
1	3856	22	2	0	5	4	5	1	2450	12
1	6213	45	1	0	3	0	5	1	23400	99
1	8150	31	2	5	4	0	5	1	1670	11
1	3786	26	1	0	2	0	1	1	170000	12
1	1156	53	1	5	4	0	5	1	8400	12
1	7575	22	1	0	4	0	5	1	51000	12
1	6743	23	1	0	1	8	5	1	101250	12
1	698	71	2	1	3	0	5	2	14964	15
1	6871	51	2	0	2	0	1	2	50000	14
1	1443	49	1	5	3	0	1	2	4200	14
1	227	68	1	5	4	0	5	2	51182	14
1	833	39	1	5	5	0	1	2	3150	11
1	5033	24	2	0	2	0	1	2	60050	13
1	5006	48	1	0	2	0	5	2	164550	16
1	1264	96	2	5	2	0	5	1	16573	12
1	187	62	1	5	3	0	5	1	44093	14
1	431	86	1	5	3	0	5	1	21471	10
1	2072	64	2	5	5	0	5	1	21515	15
1	6113	37	2	0	2	0	5	1	172600	17
1	276	66	1	5	3	0	5	1	81276	14
1	3257	51	1	5	3	0	1	1	37366	11
1	4735	29	1	0	2	0	5	1	63800	14
1	7731	27	2	0	4	0	1	1	33014	12
1	2839	53	1	0	1	0	5	3	104336	17
1	237	77	2	5	3	0	5	1	0	13
1	684	53	2	0	2	0	1	1	19000	17
1	4663	52	1	0	2	0	5	1	24368	13
1	6761	57	1	0	1	0	5	1	103600	14
1	7093	41	1	0	3	0	1	1	41312	17
1	8487	25	1	5	1	0	5	3	1850	12
1	3464	35	1	0	2	0	5	1	69010	14
1	825	93	2	5	4	0	5	1	19440	12
1	545	58	1	0	2	0	5	1	96200	12
1	324	61	1	0	2	0	5	1	147000	12
1	1827	62	1	5	3	0	5	1	45000	12
1	30	67	1	5	2	0	5	1	79080	13
1	7314	42	1	0	3	0	5	1	73100	15
1	879	42	2	0	1	0	5	1	92250	99
1	5223	19	1	0	1	1	5	1	206500	12
1	4651	39	1	0	2	0	5	1	90100	12
1	1431	31	1	0	1	0	5	9	24904	12
1	3368	38	1	0	2	0	5	1	229540	16
1	1099	36	1	0	2	0	5	1	123000	14
1	5464	82	2	5	4	0	5	1	31660	14
1	451	63	1	0	1	0	1	1	11509	12
1	267	62	2	5	4	0	1	1	13766	12
1	8710	33	2	0	2	0	5	1	28840	12
1	3264	33	2	0	3	0	5	1	24816	15
1	140	82	2	5	2	0	5	2	10560	10
1	669	57	2	0	1	0	5	2	35003	13
1	3559	50	1	0	1	0	5	2	50000	12
1	5337	50	2	0	2	0	5	2	79500	14
1	2434	41	2	0	2	1	5	2	91502	14
1	1342	23	1	0	2	0	5	2	79800	14
1	481	64	2	0	2	0	1	1	90350	16
1	8988	46	2	0	2	0	5	1	101005	16
1	2836	44	1	5	2	0	5	1	72000	13
1	7211	68	1	5	4	0	5	1	68590	16
1	1778	69	1	0	2	0	5	1	84950	16
1	63	69	1	0	2	0	5	1	140870	16
1	95	47	2	0	2	0	5	1	47567	12
1	5050	45	1	0	1	0	5	1	124387	15
1	1518	43	1	0	1	0	5	4	250100	16
1	8478	47	1	0	1	0	1	1	60300	17
1	43	81	2	5	2	0	5	1	26879	12
1	6205	55	1	0	3	0	5	1	126100	12
1	471	53	2	5	3	0	5	1	8916	5
1	2380	52	2	0	4	0	5	1	100000	17
1	1148	33	2	5	3	0	1	1	12745	8
1	7466	32	1	5	2	0	5	1	63700	17
1	8954	29	1	0	3	0	5	1	45000	10
1	8356	28	1	0	2	0	5	1	46000	17
1	7541	45	1	0	2	0	5	1	164800	12
1	2673	37	1	0	2	0	1	1	68080	12
1	8445	34	2	0	1	2	5	9	36000	14
1	5797	52	1	0	2	0	5	1	131500	13
1	6248	37	1	0	3	3	5	1	32500	12
1	6409	39	2	5	4	0	5	1	8652	9
1	8194	34	1	0	3	0	5	1	137000	16
1	3513	31	2	0	3	0	5	1	8000	12
1	4698	60	1	5	5	0	5	1	23608	9
1	8228	35	2	0	3	0	5	1	40240	12
1	7036	36	1	0	2	0	5	1	58020	16
1	2759	44	1	0	3	0	5	2	38200	12
1	6606	47	1	0	3	0	1	1	120000	16
1	2512	35	1	0	2	0	5	1	40768	11
1	3679	57	1	0	1	0	5	1	79300	10
1	5645	37	2	0	4	0	1	1	31000	12
1	523	21	2	0	2	0	5	1	27000	12
1	5589	59	1	0	2	0	5	1	62000	8
1	51	60	1	5	5	0	1	1	34828	8
1	7213	47	1	5	4	0	5	1	39319	12
